Rank,Player,Team,Clean Sheets,Goals Conceded,Minutes,Matches,Country
1,Lukas Hradecky,Bayer 04 Leverkusen,15.0,24.0,2970,33,FIN
2,Alexander Nübel,VfB Stuttgart,11.0,36.0,2700,30,GER
3,Noah Atubolu,SC Freiburg,10.0,58.0,3060,34,GER
4,Gregor Kobel,Borussia Dortmund,7.0,34.0,2366,27,SUI
5,Kevin Trapp,Eintracht Frankfurt,7.0,48.0,2880,32,GER
5,Robin Zentner,1. FSV Mainz 05,7.0,48.0,2700,30,GER
7,Frederik Rønnow,1. FC Union Berlin,7.0,56.0,2970,33,DEN
8,Manuel Neuer,Bayern München,6.0,33.0,2054,23,GER
9,Michael Zetterer,SV Werder Bremen,6.0,37.0,2430,27,GER
10,Kevin Müller,1. FC Heidenheim 1846,6.0,55.0,3060,34,GER
11,Péter Gulácsi,RB Leipzig,5.0,9.0,1170,13,HUN
12,Janis Blaswich,RB Leipzig,5.0,30.0,1890,21,GER
13,Sven Ulreich,Bayern München,4.0,12.0,990,11,GER
14,Koen Casteels,VfL Wolfsburg,4.0,39.0,2250,25,BEL
15,Moritz Nicolas,Borussia Mönchengladbach,4.0,49.0,2430,27,GER
16,Marvin Schwäbe,FC Köln,4.0,60.0,3060,34,GER
17,Manuel Riemann,VfL Bochum,4.0,70.0,2970,33,GER
18,Alexander Meyer,Borussia Dortmund,3.0,9.0,694,8,GER
19,Finn Dahmen,FC Augsburg,3.0,52.0,2790,31,GER
20,Marcel Schuhen,SV Darmstadt,3.0,76.0,2790,31,GER
21,Pavao Pervan,VfL Wolfsburg,2.0,17.0,810,9,AUT
22,Oliver Baumann,TSG Hoffenheim,2.0,66.0,3060,34,GER
23,Matej Kovar,Bayer 04 Leverkusen,1.0,0.0,90,1,CZE
24,Daniel Batz,1. FSV Mainz 05,1.0,3.0,360,4,GER
24,Fabian Bredlow,VfB Stuttgart,1.0,3.0,360,4,GER
26,Jiri Pavlenka,SV Werder Bremen,1.0,17.0,630,7,CZE
